ticket_id,created_at,product,rating,review_text
1,2025-04-17,Doc Uploader,5,"It works as expected, not much else to say."
2,2025-10-25,Loan Portal,5,Crashes every time I try to upload a file.
3,2025-06-12,Loan Portal,5,Support team was quick and kind.
4,2025-09-23,Doc Uploader,2,The patch broke my saved settings. Please fix ASAP.
5,2025-03-20,Rate Tracker,3,Terrible. Payment failed multiple times and no support response. Search results feel random and unhelpful.
6,2025-04-16,Loan Portal,2,Support team was quick and kind.
7,2025-02-01,Doc Uploader,4,"Decent, though could be faster."
8,2025-03-10,Doc Uploader,5,"It works as expected, not much else to say."
9,2025-12-10,Rate Tracker,5,"MFA setup is unclear, I can’t log in anymore."
10,2025-08-31,Rate Tracker,5,Keeps recommending products I already bought. Very annoying.
11,2025-11-28,Loan Portal,3,Search results feel random and unhelpful.
12,2025-07-10,Doc Uploader,2,Absolutely love the new dashboard! Smooth and reliable.
13,2025-11-18,Loan Portal,1,Terrible. Payment failed multiple times and no support response.
14,2025-03-13,Rate Tracker,2,Dark mode looks fantastic and makes it easier on my eyes.
15,2025-11-05,Loan Portal,5,"Ok overall, but some things feel outdated."
16,2025-05-20,Loan Portal,1,Keeps recommending products I already bought. Very annoying. Terrible. Payment failed multiple times and no support response.
17,2025-06-24,Rate Tracker,2,Search results feel random and unhelpful.
18,2025-02-22,Doc Uploader,4,Dark mode looks fantastic and makes it easier on my eyes.
19,2025-07-09,Closing Scheduler,4,"Great onboarding, felt very intuitive."
20,2025-11-04,Closing Scheduler,5,"Decent, though could be faster."
21,2025-04-19,Rate Tracker,2,"Ok overall, but some things feel outdated."
22,2025-08-11,Doc Uploader,2,Dark mode looks fantastic and makes it easier on my eyes.
23,2025-05-15,Doc Uploader,5,Terrible. Payment failed multiple times and no support response.
24,2025-04-22,Doc Uploader,3,"Ok overall, but some things feel outdated."
25,2025-04-13,Loan Portal,3,
26,2025-12-15,Loan Portal,1,Terrible. Payment failed multiple times and no support response.
27,2025-02-17,Closing Scheduler,5,"Login screen won’t load since the last update, very frustrating."
28,2025-11-17,Loan Portal,5,Absolutely love the new dashboard! Smooth and reliable.
29,2025-12-25,Rate Tracker,2,Dark mode looks fantastic and makes it easier on my eyes.
30,2025-03-26,Doc Uploader,5,Terrible. Payment failed multiple times and no support response. Terrible. Payment failed multiple times and no support response.
31,2025-08-03,Rate Tracker,1,The patch broke my saved settings. Please fix ASAP. Crashes every time I try to upload a file.
32,2025-04-22,Loan Portal,4,This app has saved me hours every week.
33,2025-09-29,Doc Uploader,5,"Ok overall, but some things feel outdated."
34,2025-02-23,Doc Uploader,5,Delivery was late and packaging damaged.
