ticket_id,created_at,product,rating,review_text
1,2025-05-13,Shipping,3,"Decent, though could be faster."
2,2025-11-11,Shipping,2,Dark mode looks fantastic and makes it easier on my eyes.
3,2025-01-25,Identity,1,Support team was quick and kind.
4,2025-05-31,Returns,1,"It works as expected, not much else to say."
5,2025-10-08,Identity,5,"Charged twice for the same invoice, refund process unclear."
6,2025-12-22,Identity,2,Average experience. Nothing special.
7,2025-05-29,Billing,4,"Ok overall, but some things feel outdated."
8,2025-03-04,Identity,3,Absolutely love the new dashboard! Smooth and reliable.
9,2025-01-18,Shipping,4,Support team was quick and kind.
10,2025-03-28,Returns,2,Terrible. Payment failed multiple times and no support response.
11,2025-08-24,Shipping,1,"Charged twice for the same invoice, refund process unclear."
12,2025-11-16,Identity,4,Absolutely love the new dashboard! Smooth and reliable.
13,2025-09-06,Shipping,5,"Delivery was late and packaging damaged. Login screen won’t load since the last update, very frustrating."
14,2025-09-23,Returns,1,Support team was quick and kind.
15,2025-01-11,Shipping,2,Support team was quick and kind.
16,2025-12-10,Identity,5,"Great onboarding, felt very intuitive."
17,2025-07-05,Billing,4,"It works as expected, not much else to say."
18,2025-08-10,Returns,4,"Decent, though could be faster."
19,2025-09-28,Shipping,3,Search results feel random and unhelpful.
20,2025-07-26,Shipping,4,"Ok overall, but some things feel outdated."
21,2025-12-24,Shipping,2,
22,2025-01-26,Shipping,3,"Great onboarding, felt very intuitive."
23,2025-02-15,Returns,1,"Solid product, integrates well with our workflow."
24,2025-06-20,Billing,2,Keeps recommending products I already bought. Very annoying. Keeps recommending products I already bought. Very annoying.
25,2025-07-02,Billing,5,Average experience. Nothing special.
26,2025-03-18,Returns,2,"Solid product, integrates well with our workflow."
27,2025-11-30,Shipping,2,"Solid product, integrates well with our workflow."
28,2025-05-05,Returns,1,Crashes every time I try to upload a file.
29,2025-12-21,Identity,2,Average experience. Nothing special.
30,2025-07-12,Identity,2,Delivery was late and packaging damaged.
31,2025-10-26,Billing,1,"Decent, though could be faster."
32,2025-10-24,Identity,1,Average experience. Nothing special.
33,2025-06-29,Billing,4,Absolutely love the new dashboard! Smooth and reliable.
34,2025-09-27,Shipping,1,This app has saved me hours every week.
35,2025-08-20,Returns,2,"Login screen won’t load since the last update, very frustrating."
36,2025-04-06,Shipping,1,"It works as expected, not much else to say."
